SKU编码,商品名称,仓库,采购价,建议零售价,库存,单位,规格
001,摇椅,美国仓,380,210.0,10,件,"尺寸:138*14*85/54*6*34; 重量:13/27磅; 出口申报单价:60; 链接:https://detail.1688.com/offer/830008174408.html?sp"
002,滚筒款2层-白架-黄木纹板,美国仓,200,110.0,10,件,"尺寸:105*65.5*7.5/41*26*3; 重量:9.02磅; 出口申报单价:36; 链接:https://detail.1688.com/offer/798693869623.html?sp"
003,滚筒款2层-黑架+古橡木板,美国仓,0,110.0,10,件,"尺寸:; 重量:磅; 出口申报单价:36"
004,滚筒款3层-白架-黄木纹板,美国仓,210,113.0,10,件,"尺寸:105*65.5*9/41*26*3.5; 重量:11.12磅; 出口申报单价:40"
005,【升级实木腿】大杉胡桃色40*35*70,美国仓,200,102.5,10,件,"尺寸:49*43*13; 重量:7.3-7.95磅; 出口申报单价:27; 链接:https://detail.1688.com/offer/990934146072.html?sp"
006,户外休闲多功能折叠床55.8黑+珍珠垫,美国仓,140,105.0,10,件,"尺寸:68*58*11; 重量:4.45/7.23磅; 出口申报单价:28; 链接:https://detail.1688.com/offer/1018018277885.html?s"
007,洞洞板置物架黑色四层,美国仓,320,395.0,10,件,"尺寸:34*40*66; 重量:16.5磅; 出口申报单价:102; 链接:https://detail.1688.com/offer/670433059544.html?sp"
008,洞洞板置物架白色四层,美国仓,0,0,10,件,"尺寸:34*40*66; 重量:16.5磅; 出口申报单价:102"
009,洞洞板置物架白色五层,美国仓,340,0,10,件,"尺寸:44*40*76; 重量:18.5磅; 出口申报单价:130"
010,洞洞板置物架黑色五层,美国仓,0,0,10,件,"尺寸:44*40*76; 重量:18.5磅; 出口申报单价:130"
011,多功能储物沥水篮白色55,美国仓,220,325.0,5,件,"尺寸:78*22*36; 重量:6.2/10.3磅; 出口申报单价:90; 链接:https://detail.1688.com/offer/965612554183.html?sp"
012,多功能储物沥水篮黑色55,美国仓,0,0,5,件,"尺寸:78*22*36; 重量:6.2/10.3磅; 出口申报单价:90"
013,多功能储物沥水篮白色65,美国仓,0,0,5,件,"尺寸:78*22*36; 重量:6.2/10.3磅; 出口申报单价:105"
014,多功能储物沥水篮黑色65,美国仓,0,0,5,件,"尺寸:78*22*36; 重量:6.2/10.3磅; 出口申报单价:105"
015,马桶坐便改蹲便蹲,美国仓,130,95.0,10,件,"尺寸:44*50*11; 重量:4.25磅; 出口申报单价:24; 链接:https://detail.1688.com/offer/1032698251719.html?s"
016,折叠可移动小推车置物架,美国仓,120,115.0,10,件,"尺寸:73*50*12; 重量:3.65/7.3磅; 出口申报单价:30; 链接:https://detail.1688.com/offer/1008734793376.html?s"
017,厨房用品免安装折叠白色三层,美国仓,140,130.0,10,件,"尺寸:89*40*9; 重量:5/5.34磅; 出口申报单价:34; 链接:https://detail.1688.com/offer/617596918301.html?sp"
018,厨房用品免安装折叠黑色三层,美国仓,0,0,10,件,"尺寸:89*40*9; 重量:5/5.34磅; 出口申报单价:34"
019,厨房用品免安装折叠白色四层,美国仓,0,0,10,件,"尺寸:89*40*9; 重量:6/6.34磅; 出口申报单价:45"
020,厨房用品免安装折叠黑色四层,美国仓,0,0,10,件,"尺寸:89*40*9; 重量:6/6.34磅; 出口申报单价:45"
021,灰色圆管【中宽-珍珠垫】,美国仓,190,210.0,10,件,"尺寸:114*25*19; 重量:7.05/9.02磅; 出口申报单价:60; 链接:https://detail.1688.com/offer/1032752859966.html?s"
022,黑架+【雪山白岩板】60+45组合,美国仓,410,370.0,5,件,"尺寸:64*64*48; 重量:18/33磅; 出口申报单价:108; 链接:https://detail.1688.com/offer/981427225298.html?sp"
023,爆款:直径60cm【高度45cm】,美国仓,0,0,5,件,"尺寸:64*64*48; 重量:10/33磅; 出口申报单价:108; 链接:https://detail.1688.com/offer/985557020051.html?sp"
024,滚筒洗衣机置物架三层,美国仓,180,110.0,5,件,"尺寸:100*43*10; 重量:8磅; 出口申报单价:30; 链接:https://detail.1688.com/offer/1007006677518.html?s"
025,滚筒洗衣机置物架二层,美国仓,160,110.0,5,件,"尺寸:100*43*10; 重量:6.1磅; 出口申报单价:30"
026,带挂钩洗衣机架两层黑色,美国仓,36,105.0,16,件,"尺寸:74.5*20*11; 重量:2.17磅; 出口申报单价:30; 链接:https://detail.1688.com/offer/887363901353.html?sp"
027,带挂钩洗衣机架两层白色,美国仓,36,105.0,16,件,"尺寸:74.5*20*11; 重量:2.17磅; 出口申报单价:30"
028,旋转凳,美国仓,119,175.0,10,件,"尺寸:40*40*55; 重量:4磅; 出口申报单价:51; 链接:https://detail.1688.com/offer/974099206903.html?sp"